name,AverageShortestPathLength,ClosenessCentrality,NeighborhoodConnectivity,TopologicalCoefficient,Label
AARS2,2.967275495,0.33700949,37.5,0.156302521,0
MTFMT,2.882039574,0.346976499,37.875,0.129052901,0
AICDA,2.677321157,0.373507675,66.5625,0.137009298,0
MVP,2.96194825,0.337615622,43.33333333,0.196620584,0
PSMD6,2.511415525,0.398181818,45.86956522,0.070252067,0
UCHL3,2.720700152,0.367552448,34.37037037,0.078960905,0
H6PD,2.479452055,0.403314917,49.62264151,0.073322541,0
ALDH18A1,2.46499239,0.405680766,37.3,0.054410331,0
TUFM,2.503805175,0.399392097,44.59649123,0.068953343,0
HARS,2.907153729,0.343979058,35.06666667,0.12343934,0
EPRS,2.295281583,0.435676393,48.03797468,0.054732041,0
ABCA1,2.375190259,0.421018904,80.3877551,0.100811717,0
CETP,2.628614916,0.380428489,81.55,0.156226054,0
SIRT1,2.152968037,0.46447508,66.94495413,0.065816893,0
SNTA1,2.925418569,0.341831426,27.83333333,0.113168724,0
PON1,2.52587519,0.39590238,94.06896552,0.146982759,0
CCL2,2.251141553,0.444219067,74.94392523,0.083363654,0
GAPDH,1.906392694,0.524550898,54.14760148,0.046240479,0
APOB,2.236681887,0.447090847,62.36893204,0.068014103,0
LRP1,2.391171994,0.418204965,74.31111111,0.094941745,0
NR1H2,2.782343988,0.35940919,58.64285714,0.157450077,0
NR0B2,2.445966514,0.408836341,68.04878049,0.092676281,0
CYP27A1,2.671232877,0.374358974,62.75,0.127698574,0
TGS1,2.909436834,0.343709129,44.8,0.16,0
LIPG,2.899543379,0.34488189,41.09090909,0.156141568,0
SPTLC1,2.871385084,0.348263981,22.61904762,0.077650572,0
IL1B,2.194063927,0.455775234,70.776,0.074258132,0
ICAM1,2.295281583,0.435676393,73.69072165,0.086075248,0
STAR,2.745814307,0.364190687,56.61538462,0.135583841,0
PPARG,2.241248097,0.446179966,69.32038835,0.076050004,0
MED1,2.619482496,0.381754794,50.38461538,0.09281862,0
LRP8,2.632420091,0.379878578,53.04166667,0.102514507,0
ABCC8,2.710806697,0.36889388,49.8,0.110714286,0
FASN,2.50152207,0.399756617,69.09090909,0.102267116,0
LEP,2.225266362,0.449384405,69.31304348,0.075004705,0
EZH2,2.338660578,0.427595184,55.40540541,0.066914741,0
PSEN1,2.248097412,0.444820582,66.78082192,0.071499809,0
LIMK1,2.624048706,0.381090487,75.4,0.138480392,0
DLG1,2.537290715,0.394121176,61.38461538,0.097066699,0
SREBF1,2.394216134,0.417673236,85.36170213,0.108437644,0
IRF6,2.732876712,0.365914787,49.375,0.115339578,0
MMP9,2.213850837,0.451701616,69.11904762,0.074562079,0
STXBP1,2.622526636,0.381311666,34.11111111,0.064551768,0
TLR4,2.157534247,0.463492063,69.88,0.070293763,0
SDHB,2.400304414,0.416613824,51.61538462,0.067362924,0
IL10,2.198630137,0.45482866,66.4140625,0.070569872,0
ACACA,2.48021309,0.403191163,83.88888889,0.118770328,0
AKT1,1.901826484,0.525810324,52.82142857,0.045182085,0
NCEH1,3.270928463,0.305723592,25.66666667,0.337899543,0
GBA2,2.677321157,0.373507675,39.14814815,0.082940992,0
NPC2,2.810502283,0.355808286,32.58333333,0.093510536,0
MTTP,2.682648402,0.372765957,79.53333333,0.164868603,0
INS,1.925418569,0.519367589,50.71691176,0.044255595,0
TNF,2.052511416,0.487208009,58.39593909,0.055185054,0
ADIPOQ,2.308980213,0.433091628,83.52054795,0.097100988,0
ABCA5,3.657534247,0.27340824,12,0.5,0
TMEM163,3.211567732,0.311374408,19.33333333,0.178608515,0
ABCA7,2.767884323,0.361286775,59.71428571,0.159663866,0
SORL1,2.608066971,0.383425737,60.92307692,0.110498395,0
ADAM10,2.328767123,0.429411765,67.67213115,0.079708046,0
MAPT,2.215372907,0.451391274,57.38636364,0.06001569,0
TOMM40,2.528158295,0.395544852,47.21052632,0.075531377,0
INPP5D,2.520547945,0.39673913,61.35897436,0.095683827,0
TREM2,2.591324201,0.385903084,81.96153846,0.14506467,0
ATP1A3,2.812785388,0.355519481,23.54166667,0.072179487,0
ABCB6,2.851598174,0.350680544,29.46666667,0.094155844,0
BIN1,2.579147641,0.387724993,47.44736842,0.083294792,0
PICALM,2.576103501,0.388183161,47.57142857,0.084045512,0
GCLC,2.563926941,0.390026714,53.28571429,0.088272921,0
